id,date,brand,p.1,f.1,d.1,p.2,f.2,d.2,p.3,f.3,d.3,p.4,f.4,d.4,p.5,f.5,d.5
26,9372,2,0.6899995804,0,0,0.6899995804,0,0,0.6899995804,0,0,0.6899995804,0,0,0.7299995422,0,0
26,9385,2,0.6899995804,0,0,0.6899995804,0,0,0.6899995804,0,0,0.6899995804,0,0,0.7299995422,0,0
26,9417,3,0.6899995804,1,0,0.6899995804,0,0,0.6899995804,1,0,0.6899995804,0,0,0.7299995422,0,0
26,9421,1,0.6699995995,1,0,0.6899995804,0,0,0.6699995995,1,0,0.6899995804,0,0,0.6499996185,0,0
26,9428,2,0.6899995804,0,0,0.5799999237,1,0,0.6899995804,0,0,0.5799999237,1,0,0.6499996185,0,0
26,9449,1,0.6799998283,1,0,0.6899995804,0,0,0.6799998283,1,0,0.6899995804,0,0,0.6499996185,0,0
26,9456,2,0.6899995804,0,0,0.6899995804,0,0,0.6899995804,0,0,0.6899995804,0,0,0.6499996185,0,0
26,9477,1,0.5799999237,1,0,0.6899995804,0,0,0.5799999237,1,0,0.6899995804,0,0,0.6499996185,0,0
26,9491,2,0.6899995804,0,0,0.6899995804,0,0,0.6899995804,0,0,0.6899995804,0,0,0.6499996185,0,0
26,9498,2,0.6899995804,0,0,0.6799998283,1,0,0.6899995804,0,0,0.6799998283,1,0,0.6499996185,0,0
26,9505,2,0.6899995804,0,0,0.6899995804,0,0,0.6899995804,0,0,0.6899995804,0,0,0.6499996185,0,0
26,9518,1,0.6799998283,1,0,0.6899995804,0,0,0.6799998283,1,0,0.6899995804,0,0,0.6499996185,0,0
26,9532,1,0.6899995804,0,0,0.6899995804,0,0,0.6899995804,0,0,0.6899995804,0,0,0.6499996185,0,0
26,9540,2,0.6899995804,0,0,0.4899997711,1,0,0.6899995804,0,0,0.4899997711,1,0,0.6499996185,0,0
26,9568,2,0.6899995804,0,0,0.5499997139,0,0,0.6899995804,0,0,0.5499997139,1,0,0.6499996185,0,0
26,9589,1,0.6799998283,1,0,0.6799998283,0,0,0.6799998283,0,0,0.6799998283,0,0,0.6499996185,0,0
26,9596,1,0.5799999237,1,0,0.6799998283,0,0,0.5799999237,1,0,0.5799999237,0,0,0.6499996185,0,0
26,9612,1,0.6899995804,0,0,0.6799998283,0,0,0.6899995804,0,0,0.6899995804,0,0,0.6499996185,0,0
26,9631,1,0.5499997139,1,0,0.6799998283,0,0,0.5499997139,1,0,0.6899995804,0,0,0.6499996185,0,0
26,9638,1,0.6799998283,0,0,0.5499997139,0,0,0.6799998283,0,0,0.6799998283,0,0,0.6499996185,0,0
26,9652,1,0.6799998283,0,0,0.5499997139,0,0,0.6799998283,0,0,0.6799998283,0,0,0.6499996185,0,0
26,9667,1,0.6799998283,0,0,0.6799998283,0,0,0.6799998283,0,0,0.6899995804,0,0,0.6499996185,0,0
26,9673,3,0.6799998283,0,0,0.6799998283,0,0,0.6799998283,0,0,0.6799998283,0,0,0.6499996185,0,0
26,9694,4,0.6799998283,0,0,0.7899999619,0,0,0.6799998283,0,0,0.7899999619,0,0,0.6499996185,0,0
